pid,laddr,raddr,status
12357,127.0.0.1@40154,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40164,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@56618,127.0.0.1@8000,SYN_SENT
12357,127.0.0.1@60954,127.0.0.1@8000,SYN_SENT
12357,127.0.0.1@36922,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40160,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40172,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40146,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40140,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@59010,127.0.0.1@8000,SYN_SENT
12357,127.0.0.1@40166,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40148,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40168,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40176,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40170,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@49696,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40152,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40162,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40174,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40142,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40180,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@60286,127.0.0.1@8000,SYN_SENT
12357,127.0.0.1@40144,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40178,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40182,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40158,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@35914,127.0.0.1@8000,ESTABLISHED
12357,127.0.0.1@40150,127.0.0.1@8000,ESTABLISHED
2114,192.168.1.97@43710,50.16.72.154@443,CLOSE_WAIT
2114,192.168.1.97@54154,108.160.172.204@443,ESTABLISHED
2114,192.168.1.97@37248,108.160.172.236@443,CLOSE_WAIT
2114,192.168.1.97@33320,108.160.172.193@443,CLOSE_WAIT
2114,192.168.1.97@17500,192.168.1.252@65306,ESTABLISHED
2114,192.168.1.97@55410,162.125.34.129@443,ESTABLISHED
2114,192.168.1.97@44508,45.58.69.97@443,ESTABLISHED
2218,192.168.1.97@49170,50.22.136.116@5938,ESTABLISHED
2218,192.168.1.97@40488,108.168.236.118@5938,ESTABLISHED
2218,127.0.0.1@5940,127.0.0.1@41863,ESTABLISHED
2218,127.0.0.1@5940,127.0.0.1@33724,ESTABLISHED
3021,192.168.1.97@48294,192.237.192.132@443,CLOSE_WAIT
3021,192.168.1.97@41608,199.59.150.42@443,ESTABLISHED
3021,192.168.1.97@46338,198.252.206.25@443,ESTABLISHED
12276,192.168.1.97@22,192.168.1.252@65296,ESTABLISHED
9992,192.168.1.97@39986,192.168.1.76@139,ESTABLISHED
9940,192.168.1.97@22,192.168.1.252@65269,ESTABLISHED
3378,192.168.1.97@22,192.168.1.252@53875,ESTABLISHED
2560,127.0.0.1@33724,127.0.0.1@5940,ESTABLISHED
2462,127.0.0.1@41863,127.0.0.1@5940,ESTABLISHED
