ap-northeast-2	52.78.0.0/16	52.78.63.252
ap-northeast-1	52.196.0.0/14	52.196.63.252
eu-west-2	52.56.0.0/16	52.56.34.0
eu-central-1	52.29.0.0/16	52.29.63.252
eu-west-1	54.246.0.0/16	54.73.0.1
ca-central-1	52.60.0.0/16	52.60.50.0
us-gov-west-1	52.222.0.0/17	52.222.9.163
us-west-2	54.188.0.0/15	54.188.0.0
us-west-1	54.183.0.0/16	54.183.64.3
us-east-2	52.14.0.0/16	52.14.64.0
us-east-1	67.202.0.0/18	67.202.0.5
ap-southeast-1	52.76.0.0/17	52.76.0.2
ap-southeast-2	52.64.128.0/17	52.64.191.252
ap-south-1	35.154.0.0/16	35.154.63.252
sa-east-1	54.94.0.0/17	54.94.0.66
